Date,MA,Upper_Band,Lower_Band
2022-12-29,51.91350002288,67.14719442316027,36.67980562259973
2022-12-30,51.045999908439995,66.16531267767209,35.9266871392079
2023-01-03,49.989500045769994,64.75838000054338,35.220620090996604
2023-01-04,49.092500114435,63.53844322518262,34.64655700368738
2023-01-05,48.250500106805,63.06513853423806,33.43586167937194
2023-01-06,47.631500053399996,62.47092346886881,32.79207663793118
2023-01-09,46.970000076285,61.01797687008491,32.922023282485085
2023-01-10,46.432000160209995,59.53225975318353,33.33174056723646
2023-01-11,46.052000236505,58.20729555945972,33.89670491355028
2023-01-12,45.60000019073,55.99221060660625,35.20778977485375
2023-01-13,45.279000091545,54.177371461481286,36.380628721608716
2023-01-17,45.43749999999,54.87786329920107,35.99713670077894
2023-01-18,45.54700012206,55.25001377567685,35.84398646844315
2023-01-19,45.695000076285,55.567937369361246,35.82206278320875
2023-01-20,46.21000003814,57.25387644882854,35.16612362745146
2023-01-23,46.91750011443499,60.37841165577227,33.45658857309772
2023-01-24,47.85100002288,62.90030888037505,32.80169116538495
2023-01-25,48.751500129695,64.91679739550412,32.58620286388589
2023-01-26,50.134000396725,67.7277880507576,32.540212742692404
2023-01-27,51.850500297539995,71.30263747531663,32.39836311976335
2023-01-30,52.979000473015006,72.85168314911317,33.106317796916834
2023-01-31,54.288000488274996,74.90567183116531,33.67032914538469
2023-02-01,56.142000389095,78.38256323964042,33.90143753854959
2023-02-02,58.77350025176499,85.81514293975533,31.731857563774657
2023-02-03,61.194000244135,89.32594326042026,33.062057227849735
2023-02-06,63.351500320425,91.7764960176098,34.92650462324019
2023-02-07,65.64900016784,95.16416035223791,36.13383998344209
2023-02-08,67.624999999995,97.17481169501318,38.07518830497682
2023-02-09,69.340999984735,98.54079951147446,40.14120045799555
2023-02-10,70.66199989318001,98.88513897115257,42.438860815207455
2023-02-13,72.13749999999501,99.52165281775504,44.75334718223499
2023-02-14,73.83549995422001,100.79431229457407,46.87668761386595
2023-02-15,75.72900009155,101.53733191234404,49.92066827075597
2023-02-16,77.25049991607,100.02469295442808,54.47630687771192
2023-02-17,78.274500083915,98.90871679729582,57.640283370534185
2023-02-21,78.64849987029001,98.41415334990359,58.882846390676434
2023-02-22,79.095499801625,97.69130961955557,60.49968998369443
2023-02-23,79.776499557485,96.63750113080486,62.91549798416513
2023-02-24,79.94699935912,96.34405167557813,63.54994704266188
2023-02-27,80.001499557485,96.30720135029567,63.69579776467434
2023-02-28,80.44099960326,95.52197640652707,65.36002279999292
2023-03-01,80.542499542225,95.3368964642666,65.7481026201834
2023-03-02,80.10999946592999,95.67707688137698,64.542922050483
2023-03-03,79.18749961852,93.29477635170726,65.08022288533273
2023-03-06,78.590999603265,92.28528948091345,64.89670972561656
2023-03-07,78.01949958801,91.58317974698161,64.4558194290384
2023-03-08,77.23549957275,89.44876412887322,65.02223501662678
2023-03-09,76.374999618525,88.25448827234675,64.49551096470324
2023-03-10,75.46649971008,87.59636501070905,63.33663440945096
2023-03-13,74.954999923705,87.46176751984676,62.44823232756325
2023-03-14,74.61899986267,86.63505075496617,62.602948970373824
2023-03-15,74.127000045775,84.4643551477821,63.78964494376791
2023-03-16,73.98199996948,83.43033442772034,64.53366551123966
2023-03-17,74.2030002594,84.43776205963559,63.96823845916441
2023-03-20,74.569000244145,85.74022980958551,63.39777067870448
2023-03-21,75.53250045777,88.5935891160442,62.471411799495804
2023-03-22,76.286500549325,90.06913816896684,62.503862929683145
2023-03-23,77.15350074769,92.7899952598723,61.51700623550771
2023-03-24,78.21800079347,94.90266288709206,61.53333869984793
2023-03-27,78.97300071717999,96.21324230917112,61.73275912518885
2023-03-28,79.59150047304,97.00200788774447,62.18099305833553
2023-03-29,80.60800056459,98.39672437340357,62.819276755776436
2023-03-30,81.91500053407,100.12216399454311,63.707837073596885
2023-03-31,83.28800048829501,103.63305528532288,62.942945691267134
2023-04-03,84.55650062562499,105.91905178210874,63.193949469141245
2023-04-04,85.94900054933001,107.85419655514035,64.04380454351967
2023-04-05,86.90800056459,108.48286550654782,65.33313562263217
2023-04-06,88.27600059510499,108.58510507540434,67.96689611480564
2023-04-10,89.820000457775,107.5454013540179,72.09459956153209
2023-04-11,91.06200027467,105.51029452032625,76.61370602901374
2023-04-12,91.73750038147999,104.29767282694431,79.17732793601567
2023-04-13,92.58950042725999,103.58615601029217,81.59284484422781
2023-04-14,93.00650024415499,103.74170874993361,82.27129173837638
2023-04-17,93.50499992371999,103.50096135968282,83.50903848775717
2023-04-18,94.00549964906,103.07282056042743,84.93817873769257
2023-04-19,94.16399955750501,103.07019215989966,85.25780695511035
2023-04-20,94.30549964906001,102.77838477217651,85.83261452594351
2023-04-21,94.17849960328002,102.81713531613649,85.53986389042355
2023-04-24,94.014999389655,102.93758941705649,85.09240936225352
2023-04-25,93.64799919129,103.92159546741443,83.37440291516556
2023-04-26,93.64149932862,103.93401784711864,83.34898081012136
2023-04-27,93.86249923707001,104.18012051979652,83.5448779543435
2023-04-28,93.95749931336499,104.38080538403773,83.53419324269225
2023-05-01,93.635499191295,103.1839675311397,84.0870308514503
